set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 ;
set pipes := 1 2 3 4 5 6 ;
param : arcs : L :=
1    2    1
2    3    1786.5
3    4    900
4    5    1150
5    6    1450
6    7    450
7    8    850
8    9    850
9    10    800
10    11    950
11    12    1200
12    13    3500
10    14    800
14    15    500
15    16    550
17    16    2730
18    17    1750
19    18    800
3    19    400
3    20    2200
20    21    1500
21    22    500
20    23    2650
23    24    1230
24    25    1300
26    25    850
27    26    300
16    27    750
23    28    1500
28    29    2000
29    30    1600
30    31    150
32    31    860
25    32    950
2    33    1641.69
33    34    900
34    35    1150
35    36    1450
36    37    450
37    38    850
38    39    850
39    40    800
40    41    950
41    42    1200
42    43    3500
40    44    800
44    45    500
45    46    550
47    46    2730
48    47    1750
49    48    800
33    49    400
33    50    2200
50    51    1500
51    52    500
50    53    2650
53    54    1230
54    55    1300
56    55    850
57    56    300
46    57    750
53    58    1500
58    59    2000
59    60    1600
60    61    150
62    61    860
55    62    950
2    63    1641.69
63    64    900
64    65    1150
65    66    1450
66    67    450
67    68    850
68    69    850
69    70    800
70    71    950
71    72    1200
72    73    3500
70    74    800
74    75    500
75    76    550
77    76    2730
78    77    1750
79    78    800
63    79    400
63    80    2200
80    81    1500
81    82    500
80    83    2650
83    84    1230
84    85    1300
86    85    850
87    86    300
76    87    750
83    88    1500
88    89    2000
89    90    1600
90    91    150
92    91    860
85    92    950 ;

param d :=
1   304.8
2   406.4
3   508
4   609.6
5   762
6   1016 ;

param E :=
1   105
2   0
3   0
4   0
5   0
6   0
7   0
8   0
9   0
10   0
11   0
12   0
13   0
14   0
15   0
16   0
17   0
18   0
19   0
20   0
21   0
22   0
23   0
24   0
25   0
26   0
27   0
28   0
29   0
30   0
31   0
32   0
33   0
34   0
35   0
36   0
37   0
38   0
39   0
40   0
41   0
42   0
43   0
44   0
45   0
46   0
47   0
48   0
49   0
50   0
51   0
52   0
53   0
54   0
55   0
56   0
57   0
58   0
59   0
60   0
61   0
62   0
63   0
64   0
65   0
66   0
67   0
68   0
69   0
70   0
71   0
72   0
73   0
74   0
75   0
76   0
77   0
78   0
79   0
80   0
81   0
82   0
83   0
84   0
85   0
86   0
87   0
88   0
89   0
90   0
91   0
92   0 ;

param P :=
1   0
2   30
3   30
4   30
5   30
6   30
7   30
8   30
9   30
10   30
11   30
12   30
13   30
14   30
15   30
16   30
17   30
18   30
19   30
20   30
21   30
22   30
23   30
24   30
25   30
26   30
27   30
28   30
29   30
30   30
31   30
32   30
33   30
34   30
35   30
36   30
37   30
38   30
39   30
40   30
41   30
42   30
43   30
44   30
45   30
46   30
47   30
48   30
49   30
50   30
51   30
52   30
53   30
54   30
55   30
56   30
57   30
58   30
59   30
60   30
61   30
62   30
63   30
64   30
65   30
66   30
67   30
68   30
69   30
70   30
71   30
72   30
73   30
74   30
75   30
76   30
77   30
78   30
79   30
80   30
81   30
82   30
83   30
84   30
85   30
86   30
87   30
88   30
89   30
90   30
91   30
92   30 ;

param D :=
1   -15886.042400000008
2   247.222
3   0
4   36.111
5   201.388
6   279.1666
7   375
8   152.778
9   145.833
10   145.833
11   138.88
12   155.55
13   261.11
14   170.833
15   77.777
16   86.111
17   240.277
18   373.611
19   16.666
20   354.1666
21   258.333
22   134.7222
23   290.2777
24   227.777
25   47.222
26   250
27   102.777
28   80.555
29   100
30   100
31   29.1666
32   223.6111
33   236.111
34   36.111
35   201.388
36   279.1666
37   375
38   152.778
39   145.833
40   145.833
41   138.88
42   155.55
43   261.11
44   170.833
45   77.777
46   86.111
47   240.277
48   373.611
49   16.666
50   354.1666
51   258.333
52   134.7222
53   290.2777
54   227.777
55   47.222
56   250
57   102.777
58   80.555
59   100
60   100
61   29.1666
62   223.6111
63   236.111
64   36.111
65   201.388
66   279.1666
67   375
68   152.778
69   145.833
70   145.833
71   138.88
72   155.55
73   261.11
74   170.833
75   77.777
76   86.111
77   240.277
78   373.611
79   16.666
80   354.1666
81   258.333
82   134.7222
83   290.2777
84   227.777
85   47.222
86   250
87   102.777
88   80.555
89   100
90   100
91   29.1666
92   223.6111 ;

param C :=
1   45.72617132
2   70.4
3   98.387
4   129.33
5   180.748
6   278.28 ;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130 ;

param Source:= 1 ;
