set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 ;
set pipes := 1 2 3 4 5 6 ;
param : arcs : L :=
1    2    100
2    3    1350
3    4    900
4    5    1150
5    6    1450
6    7    450
7    8    850
8    9    850
9    10    800
10    11    950
11    12    1200
12    13    3500
10    14    800
14    15    500
15    16    550
17    16    2730
18    17    1750
19    18    800
3    19    400
3    20    2200
20    21    1500
21    22    500
20    23    2650
23    24    1230
24    25    1300
26    25    850
27    26    300
16    27    750
23    28    1500
28    29    2000
29    30    1600
30    31    150
32    31    860
25    32    950 ;

param d :=
1   304.8
2   406.4
3   508
4   609.6
5   762
6   1016 ;

param E :=
1   100
2   0
3   0
4   0
5   0
6   0
7   0
8   0
9   0
10   0
11   0
12   0
13   0
14   0
15   0
16   0
17   0
18   0
19   0
20   0
21   0
22   0
23   0
24   0
25   0
26   0
27   0
28   0
29   0
30   0
31   0
32   0 ;

param P :=
1   0
2   30
3   30
4   30
5   30
6   30
7   30
8   30
9   30
10   30
11   30
12   30
13   30
14   30
15   30
16   30
17   30
18   30
19   30
20   30
21   30
22   30
23   30
24   30
25   30
26   30
27   30
28   30
29   30
30   30
31   30
32   30 ;

param D :=
1   -5538.8658000000005
2   247.222
3   236.111
4   36.111
5   201.388
6   279.1666
7   375
8   152.778
9   145.833
10   145.833
11   138.88
12   155.55
13   261.11
14   170.833
15   77.777
16   86.111
17   240.277
18   373.611
19   16.666
20   354.1666
21   258.333
22   134.7222
23   290.2777
24   227.777
25   47.222
26   250
27   102.777
28   80.555
29   100
30   100
31   29.1666
32   223.6111 ;

param C :=
1   45.72617132
2   70.4
3   98.387
4   129.33
5   180.748
6   278.28 ;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130 ;

param Source:= 1 ;
