set nodes := 20 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 13 ;
param : arcs : L :=
2    1    150
7    6    150
8    7    150
9    8    150
10    9    350
6    11    160
7    12    160
8    13    160
9    14    160
20    10    400
12    11    150
3    2    150
13    12    150
14    13    150
11    15    150
11    16    200
12    17    200
13    18    200
14    19    200
15    16    200
17    16    150
18    17    150
4    3    150
19    18    150
19    20    550
4    5    350
1    6    200
7    2    200
8    3    200
9    4    200
10    5    200 ;

param d :=
1   100
2   150
3   200
4   250
5   300
6   350
7   400
8   450
9   500
10   600
11   700
12   800
13   900 ;

param E :=
20   113
1   75
2   75
3   75.5
4   76
5   76
6   71
7   72
8   74
9   75
10   76
11   68
12   69
13   71
14   73
15   63
16   64
17   67
18   69
19   71 ;

param P :=
20   0
1   15
2   15
3   15
4   15
5   15
6   15
7   15
8   15
9   15
10   15
11   15
12   15
13   15
14   15
15   15
16   15
17   15
18   15
19   15 ;

param D :=
20   -462.9623999999999
1   23.1481
2   23.1481
3   23.1481
4   23.1481
5   23.1481
6   11.5741
7   23.1481
8   23.1481
9   34.7222
10   34.7222
11   11.5741
12   23.1481
13   34.7222
14   34.7222
15   23.1481
16   11.5741
17   23.1481
18   23.1481
19   34.7222 ;

param C :=
1   860
2   1160
3   1470
4   1700
5   2080
6   2640
7   3240
8   3810
9   4400
10   5580
11   8360
12   10400
13   12800 ;

param R :=
1   100
2   100
3   100
4   100
5   100
6   100
7   100
8   100
9   100
10   100
11   100
12   100
13   100 ;

param Source:= 20 ;
